user_id,merchant_id,tdate,avg_time,avg_time_in_Sec
00f4a877b16a98a2029279f8be94605978ef71e42ba65b1aed39f193a406f1e1,2345,2018-10-01,1 hours 37 minutes 41.5 seconds,5861.5
031eb2968048a6b02c31314fcf311e4a6c62edfaaabe2d6246158f68c1727049,2609,2018-10-01,0 seconds,0.0
07ee047fa6b71db133656053dc276cf977a15cf36c44232c94f183d30bf277be,2268,2018-10-01,1 minutes 52 seconds,112.0
0cdc3cd22bb3acce682b45f7be0fc158a7fa65851207ea3ac8cb65d2330fcb31,2163,2018-10-01,0 seconds,0.0
15e3005b2d8fe8c74c1c012287d12483136accdb50cee700abec8e47bbd305c1,2046,2018-10-01,0 seconds,0.0
1679d463324e9c02b86da5ceda723c3ea1aae4adb1faa8dba91a3a1607295191,2366,2018-10-01,4 hours 24 minutes 30 seconds,15870.0
24c0f98368d52f3a8b250dde9601d77c92418ceae7f07151992648b34367f787,2944,2018-10-01,0 seconds,0.0
3378aa355a65ccc88fecd6b2f6c54688670ee7c4ccc77993ff946e8709801d2d,1991,2018-10-01,0 seconds,0.0
365a011424432621de0e828ad2cccb998dad54d9ba1f73dae3e8f5d773cb514a,2345,2018-10-01,0 seconds,0.0
3d702d209609ae48c4fbb21dc906ee36720a386a24b7a9719797ac0c6e4ff371,2453,2018-10-01,0 seconds,0.0
3dfefb729dd4810d2ea70bce2447a80a09ec92b7bf874b24947a16c8f4619033,2085,2018-10-01,9 minutes 4 seconds,544.0
40e420f188d341cfd89c8694643cc2676fae61ab69e5534982e832b915038724,2386,2018-10-01,0 seconds,0.0
44c0ed6089afc9d344dcc19cd02cbffd24cc67f27b59e5785bd44df6f1ca2e16,2066,2018-10-01,0 seconds,0.0
44e40d91f3f8b39f183a68454855dfca27a77536ccf42152af17eaf9dfb9285e,2349,2018-10-01,0 seconds,0.0
491d3a5cb0f447f310d97d365dfd49cc7a3b247c481ef59016319155ca79aaaf,232,2018-10-01,0 seconds,0.0
650150ff2fe45d7de84918012ad0b1cc0a93737f98e3ef84eb8a0a3037c326e7,2681,2018-10-01,0 seconds,0.0
6a278d34c73d264ba424bf63498d078025eeb33c4efb5610284ed9763042cbed,2633,2018-10-01,0 seconds,0.0
6a278d34c73d264ba424bf63498d078025eeb33c4efb5610284ed9763042cbed,499,2018-10-01,0 seconds,0.0
6a5b9fb789bc4ef0ce384c36a91873b6c3cf8006cbb44e9e54adfc0566e30603,2610,2018-10-01,0 seconds,0.0
6bffbbfc7bfcae5e2c2b69a9455fd4196311c947c20e64a5815d00b66ff2a95d,221,2018-10-01,0 seconds,0.0
7a8e0c9da198174eb463306b2104cfd465c7bbfed1534949a319708872e14702,2031,2018-10-01,0 seconds,0.0
87d4427f66eba56539e97e2dd781db3b03ff60f9761a3ef5200e0388c43d1e04,2484,2018-10-01,0 seconds,0.0
898d4d2f9fda029bf37b85850824f21d6204d3d3b8ab5b04dcc0d002f64c5725,2139,2018-10-01,0 seconds,0.0
8d08781fb014efd11b0da50ca990b4f607bb53ad11cfac2daab835f4401e37b8,2480,2018-10-01,0 seconds,0.0
8df6c297c3d0a10b0554668a07c43f6e089176d5260a56c5daab9453786c646d,2638,2018-10-01,0 seconds,0.0
8ee06d91bd22e43cc74abd405fa8db05bab97f1dea822660ec80597ad5421b2e,2268,2018-10-01,0 seconds,0.0
8f6dd2335b1c4a451ff21734e13a0acd0f60bc7827095e22287c39159a0c54e1,986,2018-10-01,0 seconds,0.0
8f78dcbd5137335c5206b7d5047df7aa61c3aee83d5720847cfe9817a2f124cb,446,2018-10-01,0 seconds,0.0
90f0ea307663e1cb7071ade73af10d73e13dc0bcdf43a067e2938a2f6096beee,2621,2018-10-01,0 seconds,0.0
92e0edd3590a2b45c6f6fc6a79b78d2a6250eea6a7edb61364842fe9195e185c,2284,2018-10-01,1 hours 8 minutes 49.5 seconds,4129.5
958ab0f7ace73272f399dcdc5097f35d73f270f1a6f66c2c795105c71b7c38a2,819,2018-10-01,8 minutes 47.5 seconds,527.5
95eb8ebfcfb4677364156a87cdfe1221bf17f8c25c872b0ea8ba4dca9f2be9a5,2430,2018-10-01,0 seconds,0.0
9830c10249b449e59d8eddcb960914b0927be8785038cd24354733c761944ab3,2628,2018-10-01,0 seconds,0.0
9acd0e1e4af6d022e34b5eb75edc8335b38262587cbb317cc159b328934c2e4e,2066,2018-10-01,0 seconds,0.0
9cb606b9bdfd0c46b98b78d65e92dce25cfb35548275417f547650c12979eff7,2284,2018-10-01,0 seconds,0.0
a201f01c1647f2e0e3714e58755ecee496c69dbf8bd5bd17afce2c524ebf63e2,2484,2018-10-01,0 seconds,0.0
a44d807bfa2973d5a1f291d3ab827082e579a91c8cf7ddfc1bf41dd773b52a00,246,2018-10-01,1 hours 16 minutes 54 seconds,4614.0
a83408f90abc0b90a37775395d4a330208ad6a6c16d263707d755d97e7e1ce5f,250,2018-10-01,0 seconds,0.0
acde3a538303dc35ab769a21b1139fe60b8c7247397477ed200adad481a7d78c,2123,2018-10-01,0 seconds,0.0
b0b042de81771f24eee61dd405f7fab97bb4bc3347c8ecda8e65c51b6db746f7,2300,2018-10-01,0 seconds,0.0
b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,1145,2018-10-01,12 minutes 33 seconds,753.0
