timestamp,user_id,event,flyer_id,merchant_id
2018-10-01T13:54:59-04:00,9ea672779feb1e088caa593b61ec51440c1d8694e1bf3dfe95554f7c9698c47e,shopping_list_open,,
2018-10-01T13:34:04-04:00,01ca5536abc5e0992c8e12ab57e93f567cb6608c6ebc1f403891b78a5fe75459,shopping_list_open,,
2018-10-01T13:56:36-04:00,1c1231e7a41a1bee17dd8e8111ebaef941525995f330199844fd9a0293edf9aa,flyer_open,2016315,2268
2018-10-01T13:36:16-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,shopping_list_open,,
2018-10-01T13:56:10-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,shopping_list_open,,
2018-10-01T13:36:40-04:00,9ea672779feb1e088caa593b61ec51440c1d8694e1bf3dfe95554f7c9698c47e,shopping_list_open,,
2018-10-01T13:34:36-04:00,7c3e5dadd6c0d71702e9c26a9470720db160f6addb88eabde3aa1cdf4b0e4bdd,flyer_open,1993325,2188
2018-10-01T13:31:01-04:00,9ea672779feb1e088caa593b61ec51440c1d8694e1bf3dfe95554f7c9698c47e,flyer_open,2002542,3383
2018-10-01T13:39:00-04:00,4997a2ca5d6f3a8e2181847a9734a864ea097fe3684dcbaea0634a82347453e1,flyer_open,2031695,2148
2018-10-01T13:31:13-04:00,71e01a216fd6d973c82dbd0023733adfa82887a5193d1a6329af176cb2626626,flyer_open,1996644,2694
2018-10-01T13:48:52-04:00,47f274f2b69e28c397bfe457f74b2a548ced95b1e7eba708034829834fea5e02,shopping_list_open,,
2018-10-01T13:31:30-04:00,87c2f342e40511b1ebc095de5dbd12f879d0dc52be7323d4704b73ff60f6183d,flyer_open,1994962,221
2018-10-01T13:31:35-04:00,620107fa88c4888f3e55660bd3e8e2bcdd85969000a9e54253a548e5739dc533,shopping_list_open,,
2018-10-01T13:48:22-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,flyer_open,1994508,986
2018-10-01T13:40:48-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,flyer_open,1985422,2516
2018-10-01T13:31:16-04:00,71e01a216fd6d973c82dbd0023733adfa82887a5193d1a6329af176cb2626626,flyer_open,2000528,2598
2018-10-01T13:31:43-04:00,89449f6296fecb861bb15d77ce8bea977f5f2cb68ea955e56b564bdabdb00bef,flyer_open,1994963,221
2018-10-01T13:56:58-04:00,1c1231e7a41a1bee17dd8e8111ebaef941525995f330199844fd9a0293edf9aa,shopping_list_open,,
2018-10-01T13:32:21-04:00,89449f6296fecb861bb15d77ce8bea977f5f2cb68ea955e56b564bdabdb00bef,flyer_open,1994508,986
2018-10-01T13:33:40-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,flyer_open,2022480,246
2018-10-01T13:39:21-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,shopping_list_open,,
2018-10-01T13:56:03-04:00,87c2f342e40511b1ebc095de5dbd12f879d0dc52be7323d4704b73ff60f6183d,flyer_open,2008661,3050
2018-10-01T13:39:46-04:00,620107fa88c4888f3e55660bd3e8e2bcdd85969000a9e54253a548e5739dc533,flyer_open,2016439,2609
2018-10-01T13:56:13-04:00,9ea672779feb1e088caa593b61ec51440c1d8694e1bf3dfe95554f7c9698c47e,flyer_open,2004908,2345
2018-10-01T13:50:30-04:00,24c0f98368d52f3a8b250dde9601d77c92418ceae7f07151992648b34367f787,flyer_open,2026010,2284
2018-10-01T13:51:26-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,flyer_open,1993346,2188
2018-10-01T13:50:58-04:00,89449f6296fecb861bb15d77ce8bea977f5f2cb68ea955e56b564bdabdb00bef,shopping_list_open,,
2018-10-01T13:50:56-04:00,ceb198025c7b397dddeb60f7b2f82decbe142e80dcd4758967cd373b60c5dfa5,shopping_list_open,,
2018-10-01T13:52:02-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,flyer_open,2026361,2361
2018-10-01T13:48:28-04:00,0bfffd3c9267dc2d585fb49a490e1ca00055845791275cae590f8c23c39ed9d7,shopping_list_open,,
2018-10-01T13:40:25-04:00,b38f97880ccb69e8f89201eedbccc149a9ea914ca86111340a9b1d9de1788a01,flyer_open,1985422,2516
